Name,Abbreviation,Category,StartDate,Season,CNOrUS,Location,Group,Length,Cost,Bonus,Host,Contact,Note,,,,,,,,,,,,,,,
Future Business Leaders of America-Phi Beta Lambda,FBLA-PBL,__,"2019_______________",__,,__,___,__,"__199RMB______299RMB______150USD",_,Future Business Leaders of America,"021-61990696contact@fbla-china.org",,,,,,,,,,,,,,,,
____________,,__,8_13-15_,__,,,_______,__,_,"__RMB10,000@___RMB5,000@___RMB2,000@_",Deloitte China,8.62161E+11,,,,,,,,,,,,,,,,
_________,,__,,,,__,_______,,,,,,,,,,,,,,,,,,,,,
Computer Science Challenge,,___,,,,,,,,,,,,,,,,,,,,,,,,,,
American Computer Science League,ACSL,___,,,,,,,,,,,,,,,,,,,,,,,,,,
Breakthrough Junior Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"international Genetically Engineered MachineFoundation",iGEM,__/___,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke startup challenge,,__,,,,__,,,,,,,,,,,,,,,,,,,,,,
"Rice Business Plan Competition",,__,,,,__,,,,,,,,,,,,,,,,,,,,,,
Intel International Science and Engineering Fair ,Intel ISEF,__/___,May 10-15_ 2020,__,,"Anaheim, California",h,__,,,Intel,sciedu@societyforscience.org,https://student.societyforscience.org/ISEF-FAQ,,,,,,,,,,,,,,,
FIRST Tech Challenge,FTC,__/___,,,,,m & h,,,,,,https://www.firstinspires.org/robotics/ftc,,,,,,,,,,,,,,,
FIRST Robotic Competition,FRC,__/___,,,,,,,,,,,https://www.firstinspires.org/robotics/frc,,,,,,,,,,,,,,,
"World Schools Debating Championships",WSDC,___,,,,,,,,,,,,,,,,,,,,,,,,,,
__next idea__________,,__,,,,,,,,,,,,,,,,,,,,,,,,,,
National Speech and Debate Association,NSDA,___,"11-12_______3-4_____________",__,_____,______,m & h,__,275RMB,_,"National speech & Debatee Association",joyofdebate@nsda.cn,http://www.nsda.cn,,,,,,,,,,,,,,,
American Mathematics Competition,AMC,__,__2_,__,_____,______,m & h,__,,_,______MAA,amcinfo@maa.org.,https://www.maa.org/math-competitions,,,,,,,,,,,,,,,
High School Mathematical Contest in Modeling,HiMCM,__,11_6_-11_9______,__,_____,__,h,__,100 USD,_,____________COMAP_,himcm@comap.com,https://www.comap.com/highschool/contests/himcm/himcmpayment.html,,,,,,,,,,,,,,,
The Harvard-MIT Mathematics Tournament,HMMT,__,,,,,,,,,,,,,,,,,,,,,,,,,,
The Scholastic Art & Writing Awards,,__,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quill and Scroll Writing, Photo and Multimedia Contest",,__,,,,,,,,,,,,,,,,,,,,,,,,,,
Imagine Cup - Microsoft,,__/___,,,,,,,,,,,,,,,,,,,,,,,,,,
VEX Robotics – VEX,,__/___,,,,,,,,,,,,,,,,,,,,,,,,,,
Google Global Science Fair,,__/___,September ,__-__,,,m & h,__,,,Google,,https://www.googlesciencefair.com/competition/info,,,,,,,,,,,,,,,
Science Olympiad,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diamond Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMES DYSON AWARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHI PLAY Student Game Competition,,__,,,,,,,,,,,,,,,,,,,,,,,,,,
Game Development World Championship ,GDWC,__,,,,,,,,,,,,,,,,,,,,,,,,,,
World of Warcraft Student Art Contest,,__,,,,,,,,,,,,,,,,,,,,,,,,,,
Ubisoft GAME LAB COMPETITION,,__,,,,,,,,,,,,,,,,,,,,,,,,,,
Change The Game - Google,,__,,,,,,,,,,,,,,,,,,,,,,,,,,
CBS Finance Competition,,__,,,,,,,,,,,,,,,,,,,,,,,,,,
Credit Swiss HOLT Valuation Challenge,,__,,,,,,,,,,,,,,,,,,,,,,,,,,
KPMG Innovation and Collaboration Challenge,KICC,__,,__,,,c,,,,KPMG,,https://kicc.kpmg.com/landing,,,,,,,,,,,,,,,
Valuation OLYMPIAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Modeling World Championships,ModelOFF,__,,,,,,,,,,,,,,,,,,,,,,,,,,
CFA Institute Research Challenge,,__,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Student Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"InternationalLinguisticsOlympiad",ILO,,,,,,,,,,,,,,,,,,,,,,,,,,,
